( essv_001 "зима была долгой и вьюжной" )
( essv_002 "это сейчас пройдет" )
( essv_003 "ты знаешь я слов на ветер не бросаю" )
( essv_004 "я сейчас выйду" )
( essv_005 "нам совсем в другую сторону" )
( essv_006 "ты не знаешь русских женщин брат" )
( essv_007 "да ты что" )
( essv_008 "нищета была страшная" )
( essv_009 "очень скоро ртутный столбик на дворе стал опускаться ниже двадцати" )
( essv_010 "она расчесывала волосы стоя перед громадным зеркалом" )
( essv_011 "звезды стали близкими ему существами" )
( essv_012 "у них есть еще двое сыновей" )
( essv_013 "не так уж это и важно" )
( essv_014 "не в этом дело" )
( essv_015 "зачем ты приехала" )
( essv_016 "это тут у многих бывает" )
( essv_017 "а я тут шестой год" )
( essv_018 "жаль" )
( essv_019 "не знаю" )
( essv_020 "за спиной щелкнул замок" )
( essv_021 "не хватало не только еды но даже одежды" )
( essv_022 "там за звездами обязательно есть иной мир" )
( essv_023 "я тебя очень прошу уезжай немедленно" )
( essv_024 "за окном начиналась метель" )
( essv_025 "приходите завтра" )
( essv_026 "это трудно" )
( essv_027 "ты не грусти" )
( essv_028 "прошло всего несколько месяцев" )
( essv_029 "мне достаточно того что я вижу" )
( essv_030 "зачем они тебе нужны" )
( essv_031 "продаваться рано или поздно придется" )
( essv_032 "так лучше уж заломить за себя приличную цену" )
( essv_033 "пошли отсюда" )
( essv_034 "и как ты себе все это мыслишь" )
( essv_035 "да какое это имеет значение" )
( essv_036 "это исключено" )
( essv_037 "я с ней обо всем договорилась" )
( essv_038 "ты соображаешь что говоришь" )
( essv_039 "я здесь с экскурсией а ты" )
( essv_040 "поехали с нами" )
( essv_041 "как твое здоровье" )
( essv_042 "ерунда" )
( essv_043 "от себя то ты все равно никуда не уедешь" )
( essv_044 "одни пустые хлопоты" )
( essv_045 "лучше всего будет если ты пойдешь учиться" )
( essv_046 "ты если куда соберешься еще зови меня" )
( essv_047 "она дарила любовь не требуя ничего взамен" )
( essv_048 "нам жутко не повезло" )
( essv_049 "мне бы твои заботы милый" )
( essv_050 "молодость проходит и рано или поздно начнется иная жизнь" )
( essv_051 "женщины существа чуткие и рассудочные" )
( essv_052 "такова молодость она наивна и слепа" )
( essv_053 "самые умные и честные из них спиваются" )
( essv_054 "о себе позаботься" )
( essv_055 "столько воды утекло с тех пор" )
